time,PriceUSD
2017-05-01,1436.9414880187
2017-05-02,1463.81906846873
2017-05-03,1519.40894447691
2017-05-04,1539.8300515488
2017-05-05,1529.85044301578
2017-05-06,1573.28550961426
2017-05-07,1526.26777171245
2017-05-08,1685.08649631794
2017-05-09,1719.22801355932
2017-05-10,1782.499
2017-05-11,1835.48754821742
2017-05-12,1704.66164108708
2017-05-13,1779.84025669199
2017-05-14,1794.59355055523
2017-05-15,1736.88284611338
2017-05-16,1757.02694856809
2017-05-17,1808.74606469901
2017-05-18,1894.24726455289
2017-05-19,1967.54554769141
2017-05-20,2048.11767799532
2017-05-21,2045.22249316189
2017-05-22,2078.94350002922
2017-05-23,2257.28836382233
2017-05-24,2415.00722665108
2017-05-25,2319.60137866745
2017-05-26,2279.4185836353
2017-05-27,2044.30049982466
2017-05-28,2225.7008666277
2017-05-29,2284.71579748685
2017-05-30,2167.26447790766
2017-05-31,2299.43261025716
2017-06-01,2399.88763194039
