,timestamp,open,high,low,close,volume
1,2022-05-09 10:20:00,33322.78000,33388.52000,33322.78000,33381.68000,59
2,2022-05-09 10:15:00,33354.66000,33394.89000,33306.37000,33322.78000,237
3,2022-05-09 10:10:00,33396.05000,33434.17000,33350.00000,33354.66000,254
4,2022-05-09 10:05:00,33530.87000,33531.25000,33380.69000,33396.06000,205
5,2022-05-09 10:00:00,33501.68000,33547.00000,33450.32000,33530.88000,154
6,2022-05-09 09:55:00,33490.72000,33506.71000,33426.64000,33501.69000,278
7,2022-05-09 09:50:00,33458.38000,33562.23000,33454.98000,33490.72000,224
8,2022-05-09 09:45:00,33466.73000,33496.01000,33434.16000,33458.39000,125
9,2022-05-09 09:40:00,33465.67000,33502.15000,33423.03000,33466.74000,242
10,2022-05-09 09:35:00,33446.06000,33523.14000,33429.49000,33465.67000,136
11,2022-05-09 09:30:00,33539.97000,33574.62000,33423.00000,33446.07000,441
12,2022-05-09 09:25:00,33604.83000,33608.24000,33523.23000,33539.96000,150
13,2022-05-09 09:20:00,33572.69000,33632.39000,33572.41000,33604.83000,114
14,2022-05-09 09:15:00,33722.70000,33723.22000,33572.91000,33572.92000,231
15,2022-05-09 09:10:00,33629.90000,33777.00000,33623.43000,33722.71000,341
16,2022-05-09 09:05:00,33612.83000,33658.81000,33602.99000,33629.90000,237
17,2022-05-09 09:00:00,33671.42000,33681.84000,33599.81000,33612.84000,205
18,2022-05-09 08:55:00,33695.11000,33759.78000,33590.00000,33671.42000,578
19,2022-05-09 08:50:00,33445.63000,33695.12000,33444.64000,33695.11000,453
20,2022-05-09 08:45:00,33372.15000,33480.40000,33345.01000,33445.63000,246
21,2022-05-09 08:40:00,33385.20000,33407.60000,33340.15000,33372.15000,215
22,2022-05-09 08:35:00,33290.79000,33400.00000,33245.01000,33385.19000,397
23,2022-05-09 08:30:00,33334.91000,33347.82000,33150.00000,33290.78000,882
24,2022-05-09 08:25:00,33331.97000,33378.01000,33216.72000,33334.91000,571
25,2022-05-09 08:20:00,33407.76000,33415.26000,33311.15000,33331.96000,306
26,2022-05-09 08:15:00,33490.39000,33506.68000,33400.01000,33407.76000,271
27,2022-05-09 08:10:00,33508.91000,33515.87000,33481.13000,33490.39000,130
28,2022-05-09 08:05:00,33511.08000,33511.08000,33468.52000,33508.92000,179
29,2022-05-09 08:00:00,33523.27000,33528.79000,33480.29000,33511.07000,190
30,2022-05-09 07:55:00,33545.84000,33554.13000,33518.68000,33523.27000,167
31,2022-05-09 07:50:00,33571.03000,33675.59000,33540.50000,33545.84000,288
32,2022-05-09 07:45:00,33573.00000,33635.69000,33552.11000,33571.03000,108
33,2022-05-09 07:40:00,33587.30000,33587.31000,33547.42000,33573.00000,104
34,2022-05-09 07:35:00,33596.77000,33624.36000,33552.45000,33587.30000,127
