0,1,2,3,4,5
timestamp,open,high,low,close,volume
2022-05-06 12:50:00,35882.81000,35960.75000,35775.74000,35866.61000,393
2022-05-06 12:45:00,36089.54000,36102.58000,35859.27000,35882.81000,489
2022-05-06 12:40:00,36214.26000,36214.27000,36064.67000,36089.54000,419
2022-05-06 12:35:00,36199.99000,36339.26000,36174.32000,36214.28000,539
2022-05-06 12:30:00,35978.80000,36289.43000,35978.79000,36200.00000,1618
2022-05-06 12:25:00,35876.39000,36073.05000,35831.39000,35978.80000,626
2022-05-06 12:20:00,35705.55000,35882.25000,35702.41000,35876.39000,307
2022-05-06 12:15:00,35713.41000,35746.06000,35688.60000,35705.54000,197
2022-05-06 12:10:00,35809.63000,35825.53000,35706.07000,35713.41000,257
2022-05-06 12:05:00,35888.53000,35897.18000,35809.63000,35809.64000,155
2022-05-06 12:00:00,35780.83000,35908.77000,35776.58000,35888.53000,250
2022-05-06 11:55:00,35794.19000,35859.99000,35771.21000,35780.84000,232
2022-05-06 11:50:00,35831.51000,35893.34000,35776.35000,35794.18000,217
2022-05-06 11:45:00,35810.16000,35878.09000,35800.00000,35831.51000,219
2022-05-06 11:40:00,35894.80000,35946.17000,35790.00000,35810.16000,228
2022-05-06 11:35:00,35823.08000,35992.80000,35789.60000,35894.81000,487
2022-05-06 11:30:00,35725.73000,35830.47000,35630.67000,35825.09000,420
2022-05-06 11:25:00,35808.66000,35811.73000,35587.10000,35725.73000,669
2022-05-06 11:20:00,35818.36000,35844.32000,35780.56000,35808.67000,159
2022-05-06 11:15:00,35793.19000,35847.49000,35779.19000,35818.36000,241
2022-05-06 11:10:00,35900.50000,35900.50000,35705.90000,35793.18000,553
2022-05-06 11:05:00,36000.00000,36055.87000,35900.00000,35900.49000,217
2022-05-06 11:00:00,35944.82000,36128.31000,35840.01000,36000.00000,384
2022-05-06 10:55:00,36030.02000,36031.88000,35793.81000,35944.81000,566
2022-05-06 10:50:00,36110.00000,36110.01000,35954.05000,36030.01000,406
2022-05-06 10:45:00,36093.97000,36149.98000,36089.70000,36110.01000,164
2022-05-06 10:40:00,36216.37000,36220.23000,36032.87000,36093.96000,445
2022-05-06 10:35:00,36211.38000,36224.85000,36190.62000,36216.36000,145
2022-05-06 10:30:00,36252.30000,36264.42000,36211.37000,36211.37000,132
2022-05-06 10:25:00,36263.67000,36267.28000,36220.77000,36252.29000,82
