timestamp,open,high,low,close,volume
5/10/2022 15:45,31404.99,31409.99,31404.99,31409.99,0
5/10/2022 15:40,31456.01,31461.53,31456.01,31460.65,2
5/10/2022 15:35,31216.38,31536.12,31214.78,31456.13,836
5/10/2022 15:30,31145.4,31266,31111.72,31216.37,561
5/10/2022 15:25,31060.54,31166.18,30988.28,31145.4,601
5/10/2022 15:20,31183.41,31308.23,31012.09,31060.53,586
5/10/2022 15:15,30940.54,31188.2,30874.9,31183.42,656
5/10/2022 15:10,30923.71,31116.17,30860,30940.55,935
5/10/2022 15:05,31060.62,31067.06,30875.98,30923.71,953
5/10/2022 15:00,31085.33,31183.01,31014.01,31060.63,788
5/10/2022 14:55,31067.97,31185.42,30957.38,31085.34,791
5/10/2022 14:50,30983.8,31152.22,30819.98,31067.97,1382
5/10/2022 14:45,31280,31335.92,30966.78,30983.79,1310
5/10/2022 14:40,31407.96,31426.06,31243.84,31279.99,1043
5/10/2022 14:35,31539.99,31555.51,31330.3,31407.95,607
5/10/2022 14:30,31625.85,31697.04,31489.79,31540,527
5/10/2022 14:25,31719.99,31720,31543.47,31625.84,517
5/10/2022 14:20,31833.39,31863.42,31660,31719.99,515
5/10/2022 14:15,31786.08,31876.05,31743.99,31833.39,433
5/10/2022 14:10,31968.66,32036.34,31690.01,31786.07,758
5/10/2022 14:05,31915.6,32194.66,31900,31968.66,794
5/10/2022 14:00,31815.76,31968.09,31702.83,31915.6,544
5/10/2022 13:55,31770.19,31850.25,31700,31815.77,560
5/10/2022 13:50,31608.17,31789.23,31594.58,31770.19,547
5/10/2022 13:45,31738.31,31752.24,31540,31608.17,735
5/10/2022 13:40,31881.39,31885.28,31667.8,31738.31,662
5/10/2022 13:35,31844.98,31952.08,31641.64,31881.38,1143
5/10/2022 13:30,32148.52,32383.8,31841.2,31844.99,1616
5/10/2022 13:25,32010.57,32158.01,32010,32148.52,399
5/10/2022 13:20,31981.18,32040.13,31960,32010.56,387
5/10/2022 13:15,32174.33,32196.32,31950.01,31981.18,551
5/10/2022 13:10,32194.51,32255.52,32171.86,32174.34,262
5/10/2022 13:05,32293.68,32293.68,32150.01,32194.52,513
5/10/2022 13:00,32158.12,32336.84,32094.71,32293.68,845
5/10/2022 12:55,32249.91,32272.09,32124.71,32158.11,650
5/10/2022 12:50,31912.07,32311.22,31883.01,32249.91,769
5/10/2022 12:45,32076.8,32076.82,31861.02,31910.44,561
5/10/2022 12:40,32102.53,32117.75,31977.6,32076.79,623
5/10/2022 12:35,31785.8,32162.06,31766.81,32102.54,859
5/10/2022 12:30,31764.82,31830.08,31705.55,31785.79,552
5/10/2022 12:25,31683.44,31804.84,31683.19,31764.82,429
5/10/2022 12:20,31761.22,31767.62,31660.01,31683.44,429
5/10/2022 12:15,31597.8,31784.8,31550,31761.21,607
5/10/2022 12:10,31564.95,31618.92,31535.28,31597.8,474
5/10/2022 12:05,31595.98,31644.99,31518.17,31564.95,378
5/10/2022 12:00,31622.24,31706.7,31595.67,31595.67,409
5/10/2022 11:55,31610.88,31660.87,31590,31622.24,470
5/10/2022 11:50,31633.61,31703.37,31592.84,31610.87,330
5/10/2022 11:45,31760.02,31779.06,31612.24,31633.62,401
5/10/2022 11:40,31659.94,31828.24,31617.77,31760.02,793
5/10/2022 11:35,31610.01,31689.8,31580.07,31659.93,494
5/10/2022 11:30,31565.89,31696.62,31515.94,31610.02,449
5/10/2022 11:25,31600.89,31620,31482.46,31565.9,382
5/10/2022 11:20,31503.58,31643.3,31440.01,31600.89,536
5/10/2022 11:15,31393.85,31535.34,31381.8,31503.59,516
5/10/2022 11:10,31345.81,31431.13,31341.76,31393.85,437
5/10/2022 11:05,31315.06,31357.1,31261.96,31345.81,593
5/10/2022 11:00,31305.27,31364.14,31249.09,31315.06,601
5/10/2022 10:55,31361.13,31414.86,31285.09,31305.27,408
5/10/2022 10:50,31491.23,31501.38,31340.1,31361.13,359
5/10/2022 10:45,31415.96,31499.74,31371,31491.22,439
5/10/2022 10:40,31392.22,31444.92,31362.75,31415.96,350
5/10/2022 10:35,31443.09,31525.88,31325.61,31392.21,524
5/10/2022 10:30,31503.41,31575.7,31422.6,31443.08,434
5/10/2022 10:25,31501.75,31549.51,31476.7,31503.41,299
5/10/2022 10:20,31447.6,31552.99,31382.69,31501.74,601
5/10/2022 10:15,31369.29,31494.32,31240,31447.59,649
5/10/2022 10:10,31379.66,31440,31340.05,31369.28,361
5/10/2022 10:05,31370.31,31411.24,31351.02,31379.67,522
5/10/2022 10:00,31397.68,31474.57,31313,31370.3,585
5/10/2022 9:55,31459.46,31503.35,31365.6,31397.69,655
5/10/2022 9:50,31553.43,31572.26,31449.57,31459.45,672
5/10/2022 9:45,31532.29,31599.93,31460.42,31553.44,480
5/10/2022 9:40,31587.05,31687.01,31530.01,31532.29,634
5/10/2022 9:35,31426.28,31609.07,31360.61,31587.06,759
5/10/2022 9:30,31469.91,31527.88,31313.13,31426.27,794
5/10/2022 9:25,31608.89,31673.33,31420,31469.9,828
5/10/2022 9:20,31810.72,31830.55,31602.11,31608.89,872
5/10/2022 9:15,31864.85,31932.36,31769.64,31810.73,540
5/10/2022 9:10,31764.72,31889.74,31762.17,31864.84,525
5/10/2022 9:05,31733.89,31801.98,31715.63,31764.71,520
5/10/2022 9:00,31749.81,31822.5,31703.85,31733.89,520
5/10/2022 8:55,31711.29,31818.12,31697.87,31749.81,382
5/10/2022 8:50,31754.1,31807.62,31671.59,31711.28,414
5/10/2022 8:45,31802.66,31850,31716.42,31754.11,460
